type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,274884,84:f7:03:d7:97:64,-42,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1046486366,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,8,-3,7,-4,8,-4,7,-4,7,-4,6,-5,6,-5,6,-5,5,-6,5,-6,5,-6,4,-6,4,-6,4,-7,4,-7,3,-7,2,-8,2,-8,2,-8,2,-8,2,-8,1,-8,1,-9,1,-9,0,-9,0,-9,0,0,0,-9,-1,-9,-1,-9,-1,-10,-1,-10,-1,-10,-1,-10,-1,-9,-2,-10,-2,-10,-2,-10,-1,-9,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-11,-1,-11,0,-11,1,-11,2,-12,3,-11,5,-10,6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-26,37,-28,34,-29,32,-30,33,-30,30,-31,28,-35,26,-33,23,-33,23,-33,19,-37,17,-38,15,-38,15,-39,13,-38,10,-38,7,-39,5,-37,2,-36,-1,-41,-3,-40,-5,-40,-5,-41,-11,-41,-10,-40,-14,-38,-14,-42,-16,-41,-16,-40,-17,-43,-20,-40,-22,-40,-23,-42,-25,-38,-26,-39,-25,-40,-27,-40,-30,-39,-28,-40,-29,-37,-29,-41,-28,-41,-29,-37,-28,-39,-29,-35,-32,-42,-31,-38,-30,-40,-31,-41,-34,-44,-31,-46,-30,-51,-25,-51,-20,-55,-11,-56,-2,-59,8,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,48,-13,50,-20,53,-28,50,-33,48,-35,39,-34,38,-41,33,-37,34,-41,30,-40,28,-38,28,-41,31,-39,29,-37,29,-40,32,-37,31,-40,30,-39,30,-38,33,-39,31,-37,33,-41,31,-42,32,-39,31,-40,30,-38,31,-34,32,-36,37,-32,35,-32,35,-29,35,-27,37,-23,38,-24,37,-22,38,-21,41,-21,41,-17,39,-16,42,-12,41,-10,43,-10,41,-5,43,-4,43,0,42,1,41,3,44,5,42,10,43,9,43,9,42,11,43,14,44,17,44,17,41,21,41,0,0]"
CSI_DATA,274885,84:f7:03:d7:97:64,-42,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1046386285,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,-5,-8,-4,-8,-4,-8,-4,-8,-3,-8,-3,-8,-2,-8,-2,-8,-1,-8,-1,-8,0,-8,0,-8,1,-8,1,-8,2,-8,2,-8,2,-7,3,-7,3,-8,4,-7,4,-7,4,-7,4,-7,5,-7,5,-7,5,0,0,-7,6,-6,6,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-6,8,-6,8,-6,8,-6,8,-7,8,-7,8,-8,8,-8,7,-9,7,-10,5,-11,4,-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,-20,-41,-19,-42,-17,-45,-12,-44,-9,-41,-9,-43,-8,-43,-5,-39,-4,-42,-1,-42,1,-41,2,-40,7,-38,6,-38,12,-38,13,-37,14,-35,16,-34,17,-34,21,-35,22,-31,24,-30,28,-32,25,-30,28,-29,30,-26,34,-25,32,-24,36,-25,37,-24,37,-23,39,-22,41,-22,42,-20,42,-20,40,-21,43,-21,43,-19,41,-20,46,-18,44,-18,47,-17,42,-18,45,-16,44,-17,46,-19,48,-19,47,-20,49,-22,51,-25,51,-27,49,-34,48,-38,45,-44,40,-49,35,-51,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-27,53,-20,47,-10,56,-4,56,2,54,7,49,11,51,12,51,14,47,13,46,14,49,13,48,15,47,14,48,17,46,17,50,17,46,16,48,15,48,17,48,15,49,16,47,15,48,12,47,13,49,12,49,9,48,11,47,8,46,10,47,7,45,6,45,4,45,2,43,1,46,-3,42,-5,44,-7,42,-9,41,-11,41,-13,40,-14,42,-15,36,-19,38,-22,38,-22,37,-23,36,-27,35,-29,33,-28,32,-31,32,-33,32,-36,28,-35,29,-38,27,-37,23,-40,0,0]"
CSI_DATA,274886,84:f7:03:d7:97:64,-42,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1046285041,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-1,8,0,8,0,8,0,8,0,7,1,8,1,7,1,7,2,7,2,6,3,6,3,6,4,6,4,6,4,5,5,5,5,5,5,5,5,4,6,4,6,4,6,4,7,4,7,3,7,3,8,3,0,0,8,3,8,2,8,2,8,2,8,2,8,2,8,2,8,2,9,2,9,2,9,2,9,2,9,1,9,2,9,2,9,2,9,2,10,2,9,3,10,3,10,4,9,5,9,6,8,7,7,8,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,48,1,44,3,45,4,43,8,41,8,44,9,43,11,41,12,41,15,37,17,37,20,34,22,34,20,33,24,30,25,28,27,29,28,28,29,22,32,22,35,21,35,21,35,19,38,16,39,16,40,13,42,12,42,12,43,9,44,6,46,5,43,7,46,6,47,6,48,3,46,3,47,5,48,2,50,2,49,-2,49,-2,47,0,49,1,49,0,49,-1,50,-1,51,-3,53,-2,54,0,54,2,56,3,57,8,55,12,57,23,53,29,47,36,38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,-23,-44,-34,-39,-45,-33,-51,-26,-54,-23,-52,-18,-53,-15,-53,-15,-52,-10,-52,-9,-50,-9,-50,-9,-51,-10,-50,-8,-51,-10,-49,-9,-51,-10,-52,-10,-51,-8,-49,-7,-51,-10,-53,-8,-50,-10,-51,-10,-52,-12,-49,-11,-50,-12,-47,-13,-50,-15,-46,-18,-46,-17,-45,-18,-43,-20,-42,-23,-42,-23,-42,-24,-38,-24,-37,-26,-35,-29,-36,-28,-34,-32,-31,-34,-29,-36,-27,-33,-26,-38,-22,-38,-20,-41,-23,-42,-22,-44,-17,-41,-17,-44,-15,-45,-14,-44,-11,-48,-13,-48,-8,-48,-8,0,0]"
CSI_DATA,274887,84:f7:03:d7:97:64,-41,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1046184333,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-3,9,-2,8,-1,8,-1,8,-1,8,-1,8,0,8,0,8,0,8,1,7,2,7,2,7,2,7,3,7,3,7,4,7,4,6,4,6,4,6,5,6,5,6,5,6,6,5,6,5,6,5,7,5,0,0,7,5,7,5,7,4,8,4,7,4,8,4,8,4,8,5,8,5,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,9,5,9,5,9,6,8,6,8,7,7,8,6,9,5,10,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,47,-13,45,-10,47,-10,46,-8,44,-6,44,-3,46,-3,45,0,45,3,42,4,42,7,40,9,41,12,39,12,37,14,38,17,38,19,38,23,35,24,34,25,32,25,31,29,30,31,30,34,28,35,29,34,25,37,27,38,24,38,23,41,23,41,24,42,23,44,23,46,20,45,23,45,21,45,18,45,20,46,18,46,20,45,19,46,20,45,18,48,19,47,19,47,17,49,20,47,20,50,21,49,26,49,29,48,35,42,42,40,46,32,51,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,-34,-32,-41,-24,-54,-18,-55,-12,-57,-7,-55,-6,-53,-2,-52,0,-52,5,-52,2,-50,3,-51,7,-51,8,-51,6,-50,4,-51,2,-50,4,-52,6,-51,6,-49,4,-52,6,-53,2,-52,4,-52,4,-51,1,-51,2,-50,0,-51,-1,-50,-4,-49,-5,-48,-3,-49,-7,-47,-8,-48,-10,-47,-12,-46,-12,-45,-16,-43,-17,-43,-19,-42,-21,-42,-22,-40,-25,-38,-25,-38,-28,-35,-31,-35,-31,-35,-32,-32,-36,-33,-38,-30,-36,-28,-38,-27,-40,-26,-42,-27,-45,-25,-45,-22,-45,-21,0,0]"
CSI_DATA,274888,84:f7:03:d7:97:64,-41,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1046082408,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,2,8,1,8,1,8,1,8,0,8,0,8,0,7,-1,8,-1,7,-2,7,-2,7,-3,7,-3,7,-4,7,-4,7,-4,6,-4,6,-5,6,-5,6,-5,6,-6,6,-6,6,-7,6,-7,6,-7,0,0,5,-7,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-8,6,-8,6,-8,7,-8,8,-7,8,-6,9,-6,10,-4,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,45,6,46,4,45,2,47,0,43,-3,41,-2,42,-4,41,-7,42,-9,40,-10,40,-13,39,-13,37,-16,35,-20,34,-22,34,-22,31,-25,29,-24,30,-28,29,-30,29,-32,26,-32,25,-35,25,-33,23,-35,23,-40,21,-40,22,-39,20,-42,18,-43,18,-44,18,-42,15,-43,15,-46,15,-44,15,-46,16,-46,15,-46,14,-46,14,-47,15,-47,14,-45,11,-44,12,-46,12,-49,12,-48,15,-51,13,-51,17,-52,19,-52,23,-52,29,-47,37,-47,38,-41,45,-36,47,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,38,-40,32,-43,30,-47,25,-51,17,-50,12,-51,8,-51,5,-49,4,-48,4,-48,2,-47,1,-48,2,-47,1,-45,0,-49,4,-49,2,-49,1,-48,-1,-47,1,-48,3,-47,4,-49,3,-49,1,-47,3,-47,3,-47,4,-47,5,-47,6,-44,7,-45,9,-43,9,-45,10,-40,15,-42,12,-41,15,-41,18,-40,20,-37,21,-35,23,-34,23,-35,27,-33,28,-33,28,-31,31,-30,35,-27,35,-26,35,-23,37,-24,37,-22,38,-21,40,-20,41,-16,43,-17,40,-14,43,-14,43,0,0]"
CSI_DATA,274889,84:f7:03:d7:97:64,-41,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1045983149,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,-6,-7,-6,-7,-5,-8,-5,-8,-4,-8,-4,-8,-4,-8,-3,-8,-3,-8,-2,-8,-2,-8,-2,-8,-1,-8,0,-8,0,-8,0,-8,1,-8,1,-8,2,-8,2,-8,3,-8,3,-8,3,-8,4,-8,4,-8,4,0,0,-8,5,-8,5,-8,5,-8,5,-8,6,-8,6,-8,6,-7,6,-8,6,-7,6,-8,6,-7,6,-7,6,-7,6,-7,7,-7,7,-8,7,-8,7,-8,7,-9,7,-9,7,-10,6,-11,5,-11,3,-12,1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,-25,-38,-23,-41,-21,-39,-20,-41,-16,-41,-16,-44,-14,-42,-13,-41,-9,-43,-8,-41,-6,-41,-2,-39,0,-40,1,-40,6,-39,8,-39,9,-37,10,-36,13,-37,15,-38,18,-36,22,-36,23,-35,25,-35,24,-34,25,-34,29,-32,31,-29,31,-29,37,-30,37,-29,37,-31,39,-29,39,-29,42,-28,39,-28,42,-28,42,-27,41,-26,43,-25,43,-26,45,-22,41,-23,41,-23,43,-25,44,-25,45,-27,46,-26,48,-30,46,-33,49,-34,46,-41,43,-46,40,-55,34,-53,27,-54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-17,53,-12,53,-1,57,7,52,10,52,18,49,18,49,20,44,21,44,22,45,23,44,23,43,21,42,22,43,22,42,25,44,22,44,22,44,24,45,24,44,23,45,22,46,21,45,21,43,20,47,20,46,16,44,15,42,16,43,15,46,11,44,13,44,9,44,9,43,8,43,3,44,1,44,-2,43,-2,41,-5,40,-6,43,-8,42,-11,41,-13,41,-16,42,-19,42,-21,39,-22,41,-22,36,-23,38,-26,35,-29,34,-29,34,-34,32,-33,30,-33,33,-36,0,0]"
CSI_DATA,274890,84:f7:03:d7:97:64,-42,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1045886189,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,8,-1,8,-1,8,-1,8,-2,8,-2,7,-2,7,-3,7,-3,7,-4,7,-4,6,-4,6,-4,6,-5,6,-5,5,-5,5,-6,4,-6,4,-6,4,-7,4,-7,4,-7,3,-7,3,-8,3,-8,3,-8,3,-8,0,0,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,1,-9,1,-10,1,-10,1,-9,1,-9,1,-10,1,-10,1,-10,2,-10,2,-10,3,-10,3,-11,4,-10,5,-10,6,-9,8,-8,8,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-12,41,-15,42,-18,41,-20,40,-18,41,-21,35,-21,35,-24,33,-24,34,-28,32,-26,30,-28,27,-31,25,-29,24,-32,23,-32,19,-34,18,-36,16,-35,14,-37,11,-38,10,-39,8,-39,5,-42,5,-41,0,-42,1,-44,0,-43,-3,-44,-2,-46,-3,-44,-6,-46,-7,-45,-7,-46,-8,-46,-8,-46,-8,-47,-10,-46,-8,-47,-9,-47,-11,-47,-11,-47,-9,-46,-11,-45,-10,-47,-13,-49,-15,-48,-13,-48,-13,-54,-10,-52,-8,-54,-4,-58,-1,-55,6,-56,14,-54,23,-55,27,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,47,-23,47,-29,47,-35,44,-39,37,-43,33,-43,30,-44,24,-42,24,-44,22,-43,22,-43,22,-44,21,-46,21,-43,21,-44,21,-44,22,-46,20,-45,23,-43,22,-45,21,-43,23,-47,21,-44,24,-44,23,-47,25,-44,24,-42,24,-40,25,-39,28,-37,27,-38,28,-36,31,-33,28,-32,32,-30,30,-29,32,-28,34,-26,34,-21,36,-23,36,-22,39,-18,39,-15,40,-16,42,-13,43,-11,41,-8,44,-7,42,-6,43,-4,46,-1,45,1,45,1,47,3,44,5,45,5,44,0,0]"
CSI_DATA,274891,84:f7:03:d7:97:64,-41,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1045783972,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,4,7,5,6,5,6,5,6,5,6,5,5,6,5,6,4,6,4,6,4,7,3,7,3,7,2,7,2,7,1,7,1,7,0,7,0,8,0,8,0,8,-1,8,-1,8,-2,8,-1,0,0,9,-2,8,-3,9,-3,9,-3,8,-3,9,-3,8,-3,8,-3,9,-4,9,-4,9,-4,8,-4,8,-4,8,-4,8,-4,8,-4,9,-4,9,-4,9,-4,10,-3,10,-3,11,-2,10,-1,10,1,11,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,42,22,41,22,37,25,36,29,36,26,32,29,33,30,31,30,29,32,24,34,25,35,21,35,20,35,20,36,14,37,14,38,11,37,13,37,8,40,6,38,2,42,0,39,-1,43,-3,41,-4,42,-7,42,-9,43,-8,43,-11,44,-14,42,-15,42,-17,42,-16,41,-20,44,-19,43,-18,44,-20,44,-20,41,-21,44,-23,44,-24,42,-23,42,-21,43,-22,42,-24,45,-27,43,-26,46,-24,44,-24,48,-25,50,-27,52,-20,55,-17,59,-9,60,-1,56,6,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-6,-52,-15,-49,-28,-45,-31,-42,-38,-40,-37,-37,-40,-34,-43,-33,-39,-29,-40,-30,-42,-31,-43,-26,-43,-26,-42,-26,-40,-28,-42,-28,-41,-31,-42,-29,-41,-26,-43,-29,-41,-29,-42,-31,-41,-30,-40,-30,-41,-33,-40,-32,-40,-32,-38,-32,-37,-34,-34,-34,-35,-34,-34,-36,-32,-37,-29,-37,-29,-39,-24,-40,-23,-40,-21,-39,-21,-41,-19,-39,-16,-43,-12,-42,-12,-45,-10,-44,-6,-42,-4,-44,-3,-46,-2,-47,1,-50,3,-46,4,-46,6,-46,9,-47,11,-48,12,-47,14,-47,15,0,0]"
CSI_DATA,274892,84:f7:03:d7:97:64,-42,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1045685407,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,8,2,7,2,8,2,7,3,7,3,7,3,7,4,6,4,5,4,6,5,5,5,5,5,4,6,4,6,4,6,4,6,3,7,3,7,2,7,2,7,2,8,2,8,1,8,1,8,1,0,0,9,1,8,0,9,0,9,0,9,0,9,0,9,0,9,-1,9,0,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,10,-1,9,-1,10,-1,10,0,10,0,11,1,10,2,10,3,10,4,9,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,10,43,7,45,11,43,13,43,15,42,16,42,19,39,18,38,21,35,23,34,23,32,28,32,27,29,28,26,32,26,34,25,33,23,35,19,35,16,37,16,38,14,39,13,39,10,40,9,42,9,43,3,42,4,46,3,43,-1,48,-2,47,-3,44,-2,45,-4,47,-5,48,-4,48,-5,47,-7,49,-6,49,-10,48,-8,48,-7,48,-8,50,-8,49,-10,50,-11,51,-9,52,-10,51,-10,53,-8,55,-7,58,-3,60,4,59,10,58,17,53,23,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,-24,-44,-34,-34,-42,-31,-48,-27,-51,-24,-50,-19,-52,-16,-50,-16,-51,-10,-50,-11,-49,-11,-48,-10,-49,-9,-48,-10,-49,-11,-49,-11,-51,-13,-49,-13,-50,-10,-50,-13,-49,-10,-52,-13,-47,-11,-49,-13,-52,-15,-49,-16,-46,-17,-48,-18,-45,-19,-47,-18,-41,-21,-44,-21,-41,-23,-41,-24,-40,-26,-38,-27,-35,-27,-33,-29,-33,-32,-33,-33,-31,-36,-26,-36,-27,-36,-25,-38,-23,-39,-23,-40,-19,-40,-17,-43,-17,-45,-14,-44,-14,-46,-9,-47,-8,-46,-7,-48,-5,-49,-5,-49,0,0,0]"
CSI_DATA,274893,84:f7:03:d7:97:64,-41,11,1,0,1,1,1,0,0,0,1,-96,0,11,2,-1045581670,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,8,-3,8,-3,8,-4,8,-4,7,-4,7,-5,6,-5,6,-5,5,-6,6,-6,5,-6,5,-6,5,-7,4,-7,4,-7,3,-8,3,-8,3,-8,2,-8,2,-8,2,-9,1,-8,1,-9,1,-9,0,-9,0,-9,0,0,-1,-10,0,-10,-1,-10,-1,-10,-1,-10,-1,-10,-1,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-11,-2,-11,-1,-11,-1,-12,0,-12,2,-12,3,-12,5,-10,6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-14,43,-16,45,-16,42,-18,41,-20,39,-20,37,-23,37,-25,33,-28,34,-27,34,-27,31,-29,30,-31,25,-31,23,-33,22,-35,18,-37,15,-37,15,-37,14,-39,12,-41,10,-40,7,-42,7,-41,4,-42,4,-43,0,-43,-4,-43,-3,-46,-5,-46,-6,-48,-7,-48,-7,-46,-8,-48,-9,-47,-12,-47,-11,-47,-12,-47,-13,-47,-12,-49,-13,-48,-15,-48,-14,-47,-16,-48,-17,-50,-14,-48,-15,-50,-14,-49,-16,-52,-13,-54,-12,-55,-9,-61,-2,-58,1,-57,8,-57,19,-60,28,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,43,-28,48,-29,47,-36,43,-40,41,-44,29,-42,25,-48,25,-48,22,-45,24,-45,23,-44,22,-44,21,-46,22,-46,22,-46,19,-45,19,-44,20,-44,21,-46,19,-45,21,-47,20,-46,22,-45,25,-43,24,-45,24,-44,26,-43,27,-40,22,-41,26,-37,27,-38,29,-36,28,-34,28,-35,30,-33,32,-32,32,-28,35,-26,35,-24,37,-25,38,-21,38,-21,40,-16,41,-16,42,-14,42,-13,43,-11,44,-7,43,-6,45,-4,46,-3,46,0,49,1,45,3,44,6,47,7,48,0,0]"
